#PAPER 64 ant layout
#Positions in meters from center of array
antid East North Up
9 -13.0001596042 1.00001227725 1.00001227725
10 22.0002700994 13.1245167809 1.00001227725
20 1.00001227725 1.00001227725 1.00001227725
22 -6.00007366348 13.1245167809 1.00001227725
31 8.00009821797 -11.1244922265 1.00001227725
43 29.0003560401 1.00001227725 1.00001227725
53 -6.00007366348 -11.1244922265 1.00001227725
64 -20.0002455449 -11.1244922265 1.00001227725
65 22.0002700994 -11.1244922265 1.00001227725
72 -13.0001596042 25.2874235561 1.00001227725
80 -13.0001596042 -23.2873990016 1.00001227725
81 8.00009821797 13.1245167809 1.00001227725
88 -27.0003314856 1.00001227725 1.00001227725
89 15.0001841587 1.00001227725 1.00001227725
96 15.0001841587 -23.2873990016 1.00001227725
97 15.0001841587 25.2874235561 1.00001227725
104 1.00001227725 -23.2873990016 1.00001227725
105 -20.0002455449 13.1245167809 1.00001227725
112 1.00001227725 25.2874235561 1.00001227725
