#PAPER 64 ant layout
#Positions in meters from center of array
antid East North Up
0 0.0 0.0 0.0
1 -119.891471919 15.9501958217 -2.10002578174
2 -149.861839868 3.98004886417 -2.00002455417
3 -149.901840359 19.9402448083 -0.700008593073
4 -89.9311040928 15.9301955766 -2.10002578136
5 -59.9607361436 11.9701469582 -2.00002455363
6 -89.9311040928 3.98004886417 -2.00002455417
7 -29.9903681946 4.00004910861 6.5676421943e-10
8 -119.891471919 -4.02004935317 -1.90002332634
9 -179.892208554 15.9301955777 -0.100001227289
10 -179.872208308 19.9502449311 0.200002455919
11 -89.92110397 -4.01004923181 -1.90002332644
12 0.0 3.9800488641 -0.100001227147
13 -29.9803680718 15.9301955777 -0.100001227289
14 -29.9803680718 7.97009784983 -0.100001226781
15 -119.921472287 -0.0400004903297 -1.90002332627
16 -89.92110397 0.0100001220128 -2.0000245533
17 -59.9607361436 15.9801961901 -2.10002578135
18 -89.9111038472 11.9401465908 -2.10002578173
19 -104.811286778 19.7402423529 -2.10002578189
20 -179.872208308 7.95009760336 8.22911311784e-10
21 -149.861839868 -0.0100001237562 -2.00002455388
22 -179.912208799 11.9601468362 -3.31372881993e-10
23 29.9803680718 11.980147081 -0.100001226314
24 -59.9407358982 19.9602450536 -2.10002578232
25 -119.911472165 19.9102444401 -2.10002578233
26 30.0203685629 -0.0100001225992 1.89904298857e-10
27 0.0 19.9702451755 -0.200002454435
28 -44.8105501435 19.8002430891 -2.10002578207
29 -74.7909182153 19.810243212 -2.10002578178
30 0.0200002456148 12.0001473265 -0.100001226214
31 -179.882208431 -4.05004972275 0.400004911407
32 -29.9503677035 11.9501467139 -0.100001226795
33 -119.891471919 3.96004861773 -2.0000245537
34 -14.9801839131 19.9302446861 -0.200002454245
35 -119.911472165 11.9301464679 -2.10002578202
36 -59.9107355298 -3.98004886249 -1.90002332662
37 -89.9311040928 8.00009821798 -2.0000245539
38 29.9803680718 4.00004910863 -0.100001226477
39 0.04000049109 -4.00004910928 3.93831081722e-10
40 -59.9507360209 7.99009809483 -2.1000257818
41 -134.691653622 19.9202445629 -2.10002578204
42 -119.881471796 7.96009772633 -2.00002455305
43 -179.892208554 3.92004812667 2.55813544655e-10
44 -30.0103684402 0.0 0.0
45 -149.881840114 -4.02004935458 -0.400004910251
46 30.0003683174 -4.00004910839 1.90002332685
47 -104.761286164 15.8701948404 -2.00002455405
48 -89.961104461 19.9402448084 -2.10002578194
49 -164.812023413 19.9402448077 -0.100001226731
50 30.0203685629 7.99009809503 -0.100001227161
51 15.0501847725 20.0002455448 -0.200002454615
52 -59.9607361436 4.01004923129 -2.00002455369
53 -179.892208554 -0.0500006139774 0.100001228653
54 0.0 7.99009809503 -0.100001227161
55 -29.9803680718 19.9202445629 -0.200002455016
56 -0.0100001228423 15.9601959443 -0.200002454901
57 29.9703679491 20.0002455448 -0.200002454615
58 -149.881840114 15.9501958215 -2.20002700935
59 29.9603678262 15.9901963126 -0.200002454511
60 -30.0103684402 -4.00004910928 3.93831081722e-10
61 -149.871839991 11.9601468357 -2.10002578259
62 -59.9707362663 0.0100001220128 -2.0000245533
63 -149.881840114 7.98009797249 -2.000024554
64 -194.772391239 19.8602438267 -0.200002454836
65 -194.842392099 15.8701948393 -0.100001226448
66 -164.722022308 15.9001952082 -2.10002578175
67 -134.781654727 15.8301943491 -2.10002578186
68 -74.7709179697 15.7801937346 -2.1000257813
69 -44.87055088 15.8001939801 -2.1000257812
70 -15.0401846499 15.9201954532 1.70002087193
71 14.940183422 16.0001964352 1.70002087233
72 -194.832391976 11.9101462217 -0.100001226905
73 -164.642021326 11.9001460999 -2.10002578193
74 -134.661653254 11.8901459773 -2.10002578174
75 -104.851287269 11.9201463446 -2.00002455364
76 -74.7909182153 11.8501454853 -2.10002578137
77 -44.7305491612 11.8701457305 -2.10002578175
78 -14.9901840359 11.9301464678 1.70002087204
79 14.9701837903 11.9701469575 1.70002087233
80 -194.81239173 7.96009772625 1.11305296834e-09
81 -164.742022554 7.87009662221 -2.10002578192
82 -134.61165264 7.88009674507 -2.0000245545
83 -104.771286287 8.00009821798 -2.0000245539
84 -74.760917847 7.85009637673 -2.10002578202
85 -44.7605495296 7.93009735893 -2.00002455401
86 -14.9801839131 7.98009797236 1.80002210006
87 14.9701837903 7.97009784892 1.70002087167
88 -194.822391853 3.99004898668 -2.03926894158e-10
89 -164.752022676 3.9400483732 -2.00002455438
90 -134.651653131 3.97004874033 -2.00002455389
91 -104.71128555 3.85004726797 -1.9000233264
92 -74.7009171102 3.9300482506 -2.00002455419
93 -44.7905498979 4.00004910841 -2.00002455398
94 -14.9501835448 3.93004824951 1.80002210044
95 14.9501835447 3.96004861704 1.70002087226
96 -194.802391608 0.0400004912316 0.100001227814
97 -164.642021326 -0.0300003682799 -2.00002455455
98 -134.721653991 -0.0200002458061 -1.9000233256
99 -104.791286533 -0.0500006132142 -1.90002332656
100 -74.8709191974 0.0200002465322 -2.00002455463
101 -44.9005512483 -0.0100001232068 -1.90002332579
102 -15.030184527 -0.0800009832264 1.80002209958
103 14.9801839132 -0.0200002455298 1.80002209979
104 -194.802391608 -3.88004763544 0.100001227558
105 -164.602020835 -4.08005009182 -1.90002332598
106 -134.671653377 -4.06004984442 -1.90002332702
107 -104.801286655 -4.07004996839 -1.8000220976
108 -74.7509177241 -4.05004972154 -1.90002332673
109 -44.8805510028 -4.00004910893 -1.90002332615
110 -14.9701837904 -4.02004935455 1.9000233278
111 14.9901840359 -4.01004923223 1.90002332713
112 -176.032161164 15.6201917707 -2.1000257821
113 -65.3708025635 17.7102174294 -2.1000257818
114 37.5304607651 15.730193121 -2.10002578131
115 43.1705300087 17.6702169387 -2.10002578152
116 34.1404191451 34.8904283535 -2.20002700985
117 31.6903890658 55.6506832284 -2.40002946429
118 31.0003805946 76.4009379814 -2.50003069245
119 29.140357759 97.3711954351 -2.70003314818
120 26.6503271886 118.131450311 -2.90003560367
121 -26.0403196995 138.841704572 -3.20003928726
122 -142.301747052 140.371723357 -1.70002087022
123 -188.272311437 119.561467868 -0.100001226925
124 -191.052345568 98.9112143422 0.100001228394
125 -193.812379453 78.0609583618 0.200002456058
126 -196.702414934 57.2907033636 0.500006138869
127 -199.342447346 36.4404473825 0.700008594717
